zip,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
98101,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408
98102,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703,24703
98103,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385,51385
98104,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143
98105,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128,47128
98106,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244
98107,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384,24384
98108,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134,24134
98109,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002,27002
98112,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720
98115,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523,51523
98116,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694,25694
98117,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610,33610
98118,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800
98119,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036,25036
98121,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466,16466
98122,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270
98125,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803,40803
98126,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360
98133,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390,48390
98134,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844,844
98136,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364,16364
98144,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850
98146,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587,27587
98154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98155,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436,34436
98164,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
98168,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771,31771
98174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98177,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278,20278
98178,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279,27279
