zip,det,att,apt
98101,0.01838235,0.007863562,0.9737541
98102,0.23603626,0.042160654,0.7218031
98103,0.55607257,0.082075545,0.3618519
98104,0.04517383,0.005946935,0.9488792
98105,0.43403717,0.02968759,0.5362752
98106,0.64258386,0.077053119,0.280363
98107,0.41769532,0.093946337,0.4883583
98108,0.73379882,0.080842243,0.1853589
98109,0.18545476,0.035791627,0.7787536
98112,0.56862745,0.052032934,0.3793396
98115,0.70440556,0.035745691,0.2598488
98116,0.61231799,0.04157907,0.3461029
98117,0.8268947,0.041851107,0.1312542
98118,0.70927951,0.059882254,0.2308382
98119,0.36949309,0.039271661,0.5912352
98121,0.02149571,0.00596649,0.9725378
98122,0.31882402,0.066694369,0.6144816
98125,0.50499012,0.045493693,0.4495162
98126,0.6424696,0.064546305,0.2929841
98133,0.49598153,0.064517561,0.4395009
98134,0.1328125,0,0.8671875
98136,0.74646983,0.044159178,0.209371
98144,0.562663,0.077441321,0.3598957
98146,0.76094433,0.024165815,0.2148899
98154,NA,NA,NA
98155,0.77661279,0.02839668,0.1949905
98164,0,0,1
98168,0.65096883,0.025021061,0.3240101
98174,NA,NA,NA
98177,0.82680984,0.027479506,0.1457107
98178,0.78895815,0.00969625,0.2013456
98195,NA,NA,NA
98199,0.68271033,0.057303482,0.2599862
city,0.5241108,0.04767909,0.4282101
