zip,det,att,apt
98101,0.000874818,0.004113687,0.057396421
98102,0.01809416,0.0355273,0.06784474
98103,0.06911551,0.112138049,0.055648001
98104,0.00191974,0.002778075,0.05002291
98105,0.036664609,0.027567048,0.055696233
98106,0.035099656,0.046265627,0.018925143
98107,0.027464436,0.067902554,0.039713259
98108,0.032689046,0.039587563,0.009893648
98109,0.014983694,0.031787584,0.077985579
98112,0.032557823,0.032749225,0.026847297
98115,0.077863694,0.043434128,0.034871943
98116,0.038219842,0.028528689,0.026473496
98117,0.059920197,0.033336895,0.011334587
98118,0.06148029,0.057057378,0.02426084
98119,0.023275028,0.027193076,0.046091979
98121,0.001278207,0.003899989,0.071739497
98122,0.029831306,0.068597072,0.071154681
98125,0.048445496,0.047975211,0.053260503
98126,0.03337918,0.036862913,0.018792505
98133,0.054287339,0.077625815,0.058511793
98134,0.000165243,0,0.001338446
98136,0.028261493,0.018378032,0.009742922
98144,0.037748412,0.057110802,0.029662856
98146,0.039789655,0.013890373,0.012992572
98154,0,0,0
98155,0.051837848,0.020835559,0.015645348
98164,0,0,0.000783775
98168,0.037554008,0.01586708,0.020890609
98174,0,0,0
98177,0.03480319,0.012715034,0.007373511
98178,0.038754453,0.005235602,0.009411325
98195,0,0,0
98199,0.033641626,0.031039641,0.01569358
